scientificName,commonName
"Acanthurus lineatus (Linnaeus, 1758)",Blue-lined surgeonfish
"Laticauda colubrina (Schneider, 1799)",Yellow-lipped Sea Krait
"Centropyge bicolor (Bloch, 1787)",Bicolor angelfish
"Holocentrus rufus (Walbaum, 1792)",Longspine squirrelfish
"Sphyraena picudilla Poey, 1860",Barracuda
"Phoca vitulina Linnaeus, 1758",Harbor Seal
"Bodianus rufus (Linnaeus, 1758)",Hogfish
"Pleuronectes platessa Linnaeus, 1758",Plaice
"Orthopristis chrysoptera (Linnaeus, 1766)",Cuban Grunt
"Octopus Cuvier, 1798",Cuvier's octopus
"Chelidonichthys Kaup, 1873",Gurnard
"Scorpaena Linnaeus, 1758",Scorpionfish
"Lithodes maja (Linnaeus, 1758)",Norway king crab
Nudibranchia,Sea Slug
"Pomatoschistus minutus (Pallas, 1770)",Common goby
"Platichthys flesus (Linnaeus, 1758)",Flounder
"Mytilus edulis Linnaeus, 1758",Blue Mussel
"Aurelia aurita (Linnaeus, 1758)",Moon Jelly
"Cyanea capillata (Linnaeus, 1758)",Lion's Mane Jellyfish
"Astropecten irregularis (Pennant, 1777)",Sand Star
"Cottus gobio Linnaeus, 1758",Bullhead
"Micropterus salmoides (Lacepède, 1802)",Largemouth Bass
"Lepomis macrochirus Rafinesque, 1819",Bluegill
"Dreissena bugensis (Andrusov, 1897)",Quagga mussel
"Morone saxatilis (Walbaum, 1792)",Striped Bass
"Pareledone charcoti (Joubin, 1905)",Charcot's icefish
"Ameiurus catus (Linnaeus, 1758)",White Catfish
"Carcharhinus perezii (Poey, 1876)",Caribbean reef shark
"Loligo pealeii Lesueur, 1821",Longfin Inshore Squid
"Dasyatis thetidis Ogilby, 1899",Black stingray
"Orectolobus maculatus (Bonnaterre, 1788)",Wobbegong
"Panulirus argus (Latreille, 1804)",Caribbean spiny lobster
"Sepia hedleyi S.S.Berry, 1918",Hedley's Cuttlefish
"Echinaster sepositus (Retzius, 1783)",Red starfish
"Carcharias taurus Rafinesque, 1810",Sand Tiger Shark
"Solea solea (Linnaeus, 1758)",Common sole
"Octopus vulgaris Cuvier, 1797",Common Octopus
"Oblada melanura (Linnaeus, 1758)",Mediterranean moray
"Chromis chromis (Linnaeus, 1758)",Damselfish
"Thalassoma pavo (Linnaeus, 1758)",Mediterranean wrasse
"Diplodus vulgaris (Geoffroy Saint-Hilaire, 1817)",Common two-banded sea bream
"Diplodus annularis (Linnaeus, 1758)",Annular bream
"Pinna nobilis Linnaeus, 1758",Noble pen shell
"Holothuria forskali Delle Chiaje, 1823",Black sea cucumber
Diplodus sargus sargus,White seabream
"Anemonia viridis (Forsskål, 1775)",Snakelocks Anemone
"Trachinus draco Linnaeus, 1758",Greater weever
"Sabella spallanzanii (Viviani, 1805)",Mediterranean fanworm
"Diplodus puntazzo (Cetti, 1777)",Sharpsnout seabream
"Symphodus tinca (Linnaeus, 1758)",Common blenny
"Apogon imberbis (Linnaeus, 1758)",Cardinalfish
"Cancer irroratus Say, 1817",Atlantic Rock Crab
"Lithognathus mormyrus (Linnaeus, 1758)",Flathead mullet
"Serranus scriba (Linnaeus, 1758)",Painted Comber
"Esox lucius Linnaeus, 1758",Northern Pike
"Pagurus pubescens Krøyer, 1838",Downy Hermit Crab
"Paralichthys Girard, 1858",Flounder
"Anarhichas lupus Linnaeus, 1758",Atlantic wolffish
"Pomatoschistus microps (Krøyer, 1838)",Common Goby
"Lepomis gibbosus (Linnaeus, 1758)",Common Sunfish
"Hippoglossus hippoglossus (Linnaeus, 1758)",Atlantic Halibut
"Homarus gammarus (Linnaeus, 1758)",Common Lobster
"Anarhichas denticulatus Krøyer, 1845",Blue catfish
"Manta birostris (Walbaum, 1792)",Giant Manta Ray
"Cheilinus undulatus Rüppell, 1835",Napoleon wrasse
"Fistularia tabacaria Linnaeus, 1758",Bluespotted Cornetfish
"Micropterus Lacepède, 1802",Largemouth Bass
"Heniochus diphreutes Jordan, 1903",Pennant butterflyfish
"Sphyraena novaehollandiae Günther, 1860",Shortfin barracuda
"Chlorurus genazonatus (Randall & Bruce, 1983)",Sinai parrotfish
Cyprinidae,Carp
"Micropterus dolomieu Lacepède, 1802",Smallmouth Bass
"Gymnothorax meleagris (Shaw, 1795)",Guineafowl moray
"Echidna nebulosa (Ahl, 1789)",Clouded moray
"Polycera quadrilineata (O.F.Müller, 1776)",Four-striped polycera
"Sebastes viviparus Krøyer, 1845",Atlantic ocean perch
"Pagurus prideauxi Allen, 1967",Common hermit crab
"Polycera faeroensis Lemche, 1929",Sea butterfly
"Sander canadensis (Griffith & Smith, 1834)",Sauger
"Tripneustes ventricosus (Lamarck, 1816)",West Indian sea egg
"Palinurus elephas (Fabricius, 1787)",Common Spiny Lobster
"Munida rugosa (Fabricius, 1775)",Rugose Squat Lobster
"Adamsia carciniopados (Bohadsch, 1761)",Cloak anemone
"Nebrius ferrugineus (Lesson, 1831)",Giant Sleepy Shark
"Glossogobius giuris (Hamilton, 1822)",Bar-eyed goby
"Adalaria proxima (Alder & Hancock, 1854)",Yellow False Doris
"Flabellina pedata (Montagu, 1816)",Violet sea slug
"Limacia clavigera (O.F.Müller, 1776)",Orange-Clubbed Sea Slug
"Adalaria loveni (Alder & Hancock, 1862)",Sea lemon
"Mimachlamys varia (Linnaeus, 1758)",Variegated Scallop
"Rhincodon typus Smith, 1828",Whale shark
"Octopus briareus G.C.Robson, 1929",Caribbean Reef Octopus
"Myliobatis californica Gill, 1865",Bat Ray
"Stereolepis gigas Ayres, 1859",Giant sea bass
"Paralichthys californicus (Ayres, 1859)",California Halibut
"Raja inornata Jordan & Gilbert, 1881",California skate
"Gymnothorax funebris Ranzani, 1839",Green moray
"Setarches guentheri Johnson, 1862",Channeled rockfish
"Canthidermis maculata (Bloch, 1786)",Spotted triggerfish
"Gymnothorax moringa (Cuvier, 1829)",Common spotted moray
"Stephanolepis hispidus (Linnaeus, 1766)",Common Filefish
"Melichthys niger (Bloch, 1786)",Black durgon
"Canthidermis sufflamen (Mitchill, 1815)",Ocean Triggerfish
"Holacanthus ciliaris (Linnaeus, 1758)",Queen Angelfish
"Enchelycore nigricans (Bonnaterre, 1788)",Mottled conger moray
"Chaetodon capistratus Linnaeus, 1758",Four-eyed butterflyfish
"Dasyatis americana Hildebrand & Schroeder, 1928",Southern stingray
"Halichoeres maculipinna (Müller & Troschel, 1848)",Clown Wrasse
"Dasyatis sabina (Lesueur, 1824)",Atlantic stingray
"Thalassoma bifasciatum (Bloch, 1791)",Bluehead wrasse
"Scarus vetula Bloch & Schneider, 1801",Queen Parrotfish
"Pomacanthus paru (Bloch, 1787)",French Angelfish
"Sphoeroides yergeri Shipp, 1972",Speckled Puffer
"Myrichthys ocellatus (Lesueur, 1825)",Goldspotted Eel
"Callinectes bocourti A.Milne-Edwards, 1879",Bocourt swimming crab
"Octopus hubbsorum S.S.Berry, 1953",Hubbs' octopus
"Acanthocarpus alexandri Stimpson, 1871",Gladiator box crab
"Opsanus pardus (Goode & Bean, 1880)",Leopard Toadfish
"Lagocephalus lagocephalus (Linnaeus, 1758)",Oceanic pufferfish
"Petrochirus diogenes (Linnaeus, 1758)",Giant Hermit Crab
"Chromis atrilobata Gill, 1862",Scissortail damselfish
"Lophius piscatorius Linnaeus, 1758",Monkfish
"Remora remora (Linnaeus, 1758)",Common Remora
"Acanthostracion polygonius Poey, 1876",Honeycomb Cowfish
"Lactophrys bicaudalis (Linnaeus, 1758)",Spotted Trunkfish
"Epinephelus itajara (Lichtenstein, 1822)",Atlantic Goliath grouper
"Diaphorodoris luteocincta (M.Sars, 1870)",Fried egg nudibranch
"Chaetodipterus faber (Broussonet, 1782)",Atlantic Spadefish
"Rhynchobatus djiddensis (Forsskål, 1775)",Guitar fish
"Sphyrna zygaena (Linnaeus, 1758)",Hammerhead shark
"Alestes baremoze (Joannis, 1835)",African tigerfish
"Acanthurus leucosternon Bennett, 1833",Powder blue surgeonfish
"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Blacktip Shark
"Abudefduf conformis Randall & Earle, 1999",Sergent-major
"Scarus psittacus Forsskål, 1775",Common parrotfish
"Rhina ancylostoma Bloch & Schneider, 1801",Bowmouth guitarfish
"Lutjanus monostigma (Cuvier, 1828)",Blackspot Snapper
"Pastinachus sephen (Forsskål, 1775)",Cowtail ray
"Rhinoptera bonasus (Mitchill, 1815)",Cownose ray
"Chaetodon falcula Bloch, 1795",Blackwedged butterflyfish
"Acanthurus sohal (Forsskål, 1775)",Sohal Surgeonfish
"Cynoponticus ferox Costa, 1846",Guinea pike conger
"Myliobatis aquila (Linnaeus, 1758)",Eagle ray
"Serranus sanctaehelenae Boulenger, 1895",St. Helena bass
"Chorilia longipes Dana, 1851",Longhorn decorator crab
"Muraena helena Linnaeus, 1758",Mediterranean moray
"Anguilla rostrata (Lesueur, 1817)",American Eel
"Cliona celata Grant, 1826",Boring Sponge
"Lutjanus campechanus (Poey, 1860)",Red snapper
"Pterois antennata (Bloch, 1787)",Banded lionfish
"Himantura imbricatus (Bloch & Schneider, 1801)",Honeycomb ray
"Oedalechilus labeo (Cuvier, 1829)",Boxlip mullet
"Acanthurus chirurgus (Bloch, 1787)",Black Doctorfish
"Hippocampus kuda Bleeker, 1852",Common seahorse
"Hippocampus guttulatus Cuvier, 1829",Horseshoe Crab
"Galathea strigosa (Linnaeus, 1760)",Squat lobster
"Manta alfredi (Krefft, 1868)",Reef manta ray
"Dentex dentex (Linnaeus, 1758)",Common dentex
"Gymnothorax pictus (Ahl, 1789)",Spotted moray eel
"Ctenolabrus rupestris (Linnaeus, 1758)",Goldsinny
"Pagurus bernhardus (Linnaeus, 1758)",Common hermit crab
"Entelurus aequoreus (Linnaeus, 1758)",Snake Pipefish
"Syngnathus acus Linnaeus, 1758",Common pipefish
"Symphodus melops (Linnaeus, 1758)",Corkwing
"Dicotylichthys punctulatus Kaup, 1855",Three-barred porcupinefish
"Metridium senile (Linnaeus, 1761)",Plumose Anemone
"Octopus tetricus Gould, 1852",Gloomy octopus
"Procambarus clarkii (Girard, 1852)",Red Swamp Crayfish
"Arothron hispidus (Linnaeus, 1758)",Porcupinefish
"Ceratosoma amoenum (Cheeseman, 1886)",Nudibranch
"Heterodontus portusjacksoni (Meyer, 1793)",Port Jackson shark
"Gadus macrocephalus Tilesius, 1810",Pacific cod
"Pteromylaeus asperrimus (Gilbert, 1898)",Rough eagle ray
"Stenopus hispidus (Olivier, 1811)",Banded Coral Shrimp
"Dasyatis longa (Garman, 1880)",Longtail stingray
"Forcipiger flavissimus Jordan & McGregor, 1898",Longnose butterflyfish
"Sphyraena guachancho Cuvier, 1829",Bicuda
"Epinephelus aeneus (Geoffroy Saint-Hilaire, 1817)",Moorish idol
"Abalistes filamentosus Matsuura & Yoshino, 2004",Starry triggerfish
"Fistularia corneta Gilbert & Starks, 1904",Cornetfish
"Sphyraena putnamae Jordan & Seale, 1905",Barracuda
"Alpheus edwardsii (Andouin, 1826)",Snapping shrimp
"Epinephelus costae (Steindachner, 1878)",Goldblotch grouper
"Marthasterias glacialis (Linnaeus, 1758)",Spiny Starfish
"Diplodus sargus (Linnaeus, 1758)",Sargo
"Aplysina aerophoba (Nardo, 1833)",Yellow tube sponge
"Sparisoma cretense (Linnaeus, 1758)",Common parrotfish
"Epinephelus tauvina (Forsskål, 1775)",Orange-spotted grouper
"Acentronura dendritica (Barbour, 1905)",Pygmy Pipehorse
"Trachinotus ovatus (Linnaeus, 1758)",Dartfish
"Sarpa salpa (Linnaeus, 1758)",Golden bream
"Rypticus saponaceus (Bloch & Schneider, 1801)",Greater Soapfish
"Agelas oroides (Schmidt, 1864)",Maltese sponge
"Pterois radiata Cuvier, 1829",Clearfin lionfish
"Dendrochirus brachypterus (Cuvier, 1829)",Dwarf lionfish
"Thalassoma lutescens (Lay & Bennett, 1839)",Green moon wrasse
"Carangoides fulvoguttatus (Forsskål, 1775)",Yellowfin Tuna
"Gymnothorax miliaris (Kaup, 1856)",Goldentail Moray
"Coryphoblennius galerita (Linnaeus, 1758)",Common Blenny
"Lima lima (Linnaeus, 1758)",Spiny Fileclam
"Aluterus scriptus (Osbeck, 1765)",Scrawled filefish
"Pagrus pagrus (Linnaeus, 1758)",Common Sea Bream
"Chaceon affinis (A.Milne-Edwards & Bouvier, 1894)",Deep-sea red crab
"Gymnura micrura (Bloch & Schneider, 1801)",Butterfly ray
"Stephanocoenia intersepta (Lamarck, 1816)",Blushing star coral
"Heniochus acuminatus (Linnaeus, 1758)",Bannerfish
"Scorpaenopsis cirrosa (Thunberg, 1793)",Weedy scorpionfish
"Carangoides bajad (Forsskål, 1775)",Gold-spotted trevally
"Salaria pavo (Risso, 1810)",Peacock blenny
"Dendronotus frondosus (Ascanius, 1774)",Bushy-backed nudibranch
"Pomacanthus arcuatus (Linnaeus, 1758)",Gray Angelfish
"Physalia physalis (Linnaeus, 1758)",Portuguese Man O’ War
"Scorpaenopsis macrochir Ogilby, 1910",Flasher Scorpionfish
"Pseudobalistes naufragium (Jordan & Starks, 1895)",Blunthead Triggerfish
"Hermodice carunculata (Pallas, 1766)",Bearded fireworm
"Dasyatis pastinaca (Linnaeus, 1758)",Blue stingray
"Mycteroperca microlepis (Goode & Bean, 1879)",Gag
"Lutjanus fulviflamma (Forsskål, 1775)",Goldbanded snapper
"Taeniura meyeni Müller & Henle, 1841",Blotched fantail ray
"Nemateleotris magnifica Fowler, 1938",Fire Dartfish
"Ocyurus chrysurus (Bloch, 1791)",Yellowtail Snapper
"Opisthoteuthis californiana S.S.Berry, 1949",California flapjack octopus
"Holocentrus adscensionis (Osbeck, 1765)",Cardinalfish
"Odontodactylus cultrifer (White, 1850)",Mantis shrimp
"Cephalopholis polleni (Bleeker, 1868)",Harlequin Grouper
"Millepora alcicornis Linnaeus, 1758",Fire coral
"Pomacanthus imperator (Bloch, 1787)",Emperor angelfish
"Arothron diadematus (Rüppell, 1829)",Masked puffer
"Gymnothorax buroensis (Bleeker, 1857)",Latticetail moray
"Parachela oxygastroides (Bleeker, 1852)",Glass barb
"Epinephelus merra Bloch, 1793",Marbled grouper
"Ostracion cubicus Linnaeus, 1758",Boxfish
"Epinephelus stictus Randall & Allen, 1987",Black-dotted grouper
"Pomacentrus bankanensis Bleeker, 1854",Speckled damsel
"Chaetodon fasciatus Forsskål, 1775",Diagonal butterflyfish
"Coris julis (Linnaeus, 1758)",Rainbow wrasse
"Fistularia commersonii Rüppell, 1838",Cornetfish
"Dasyatis brevicaudatus (Hutton, 1875)",Short-tail stingray
"Scarus guacamaia Cuvier, 1829",Rainbow parrotfish
"Gnathanodon speciosus (Forsskål, 1775)",Banded trevally
"Myliobatis goodei Garman, 1885",Southern eagle ray
"Acanthurus nigrofuscus (Forsskål, 1775)",Brown surgeonfish
"Carangoides ruber (Bloch, 1793)",Bar jack
"Parribacus antarcticus (Lund, 1793)",Sculptured Slipper Lobster
"Pomacentrus brachialis Cuvier, 1830",Charcoal damsel
"Aetobatus flagellum (Bloch & Schneider, 1801)",Eagle ray
"Fistularia petimba Lacepède, 1803",Cornet Fish
"Condylactis gigantea (Weinland, 1860)",Caribbean anemone
"Muraena retifera Goode & Bean, 1882",Reticulate moray
"Scarus coelestinus Valenciennes, 1840",Midnight Parrotfish
"Hexabranchus sanguineus (Rüppell & Leuckart, 1830)",Spanish dancer
"Ambassis miops Günther, 1872",Flag-tailed glass perchlet
"Pomacanthus annularis (Bloch, 1787)",Blue-ringed angelfish
"Opistognathus aurifrons (Jordan & Thompson, 1905)",Yellowhead Jawfish
"Epinephelus analogus Gill, 1863",Spotted grouper
"Haemulon sciurus (Shaw, 1803)",Bluestriped grunt
"Diodon hystrix Linnaeus, 1758",Porcupinefish
"Gymnura marmorata (Cooper, 1864)",California butterfly ray
"Seriola fasciata (Bloch, 1793)",Lesser Amberjack
"Parapercis cylindrica (Bloch, 1792)",Cylindrical sandperch
"Cyclichthys spilostylus (Leis & Randall, 1982)",Porcupinefish
"Xestospongia testudinaria (Lamarck, 1815)",Barrel sponge
"Sphyraena lucasana Gill, 1863",Cortez barracuda
"Chaetodon striatus Linnaeus, 1758",Banded butterflyfish
"Cymbacephalus beauforti (Knapp, 1973)",Crocodile fish
"Cephalopholis cruentata (Lacepède, 1802)",Graysby
"Carcharhinus acronotus (Poey, 1860)",Blacknose shark
"Gymnothorax thyrsoideus (Richardson, 1845)",Freckled moray
"Chaetodon austriacus Rüppell, 1836",Blacktail butterflyfish
"Tarpon Jordan & Evermann, 1896",Tarpon
"Parapercis hexophtalma (Cuvier, 1829)",Ocellated grubfish
"Sphoeroides parvus Shipp & Yerger, 1969",Least Puffer
"Gorgonia ventalina Linnaeus, 1758",Common sea fan
"Cancer productus Randall, 1840",Pacific rock crab
"Synodus variegatus (Lacepède, 1803)",Lizardfish
"Mulloidichthys vanicolensis (Valenciennes, 1831)",Banded goatfish
"Albula vulpes (Linnaeus, 1758)",Bonefish
"Balistoides viridescens (Bloch & Schneider, 1801)",Bluefin triggerfish
"Scorpaena scrofa Linnaeus, 1758",Scorpionfish
"Thunnus thynnus (Linnaeus, 1758)",Atlantic Bluefin Tuna
"Pseudanthias fasciatus (Kamohara, 1955)",One-stripe anthias
"Sebastes chrysomelas (Jordan & Gilbert, 1881)",Black-and-yellow rockfish
"Haploblepharus edwardsii (Schinz, 1822)",Puffadder shyshark
"Chlorurus microrhinos (Bleeker, 1854)",Blunt-head parrotfish
"Haliphron atlanticus Steenstrup, 1861",Seven-arm Octopus
"Pseudorhombus argus Weber, 1913",Peacock flounder
"Epinephelus polyphekadion (Bleeker, 1849)",Camouflage grouper
"Diodon holocanthus Linnaeus, 1758",Balloonfish
"Periclimenes pedersoni Chace, 1958",Pederson cleaner shrimp
"Lactophrys triqueter (Linnaeus, 1758)",Rock Puffer
"Owenia fusiformis Delle Chiaje, 1844",Tubeworm
"Leptasterias hexactis (Stimpson, 1862)",Six-rayed sea star
Phocidae,Seals
"Gadus morhua Linnaeus, 1758",Cod
"Bothus podas (Delaroche, 1809)",Sole
"Colpophyllia natans (Houttuyn, 1772)",Boulder brain coral
"Stenorhynchus lanceolatus (Brullé, 1837)",Sponge crab
"Arbacia punctulata (Lamarck, 1816)",Purple-spined Sea Urchin
"Hemigrapsus oregonensis (Dana, 1851)",Yellow shore crab
"Chrysaora hysoscella (Linnaeus, 1767)",Compass Jellyfish
"Haemulon flavolineatum (Desmarest, 1823)",French grunt
"Diploria strigosa (Dana, 1846)",Common brain coral
"Nicholsina usta (Valenciennes, 1840)",Emerald Parrotfish
"Lagocephalus laevigatus (Linnaeus, 1766)",Smooth pufferfish
"Acanthocybium solandri (Cuvier, 1832)",Wahoo
"Nembrotha Bergh, 1877",Bergh's Nudibranch
"Pontinus sierra (Gilbert, 1890)",Speckled scorpionfish
"Hydrolagus colliei (Lay & Bennett, 1839)",Chimaera
"Limatula regularis A.E.Verrill & K.J.Bush, 1898",Regular fileclam
"Pseudolabrus japonicus (Houttuyn, 1782)",Japanese wrasse
"Flabellina iodinea (J.G.Cooper, 1863)",Spanish shawl
"Platygyra sinensis (Milne Edwards & Haime, 1849)",Brain coral
"Sparisoma viride (Bonnaterre, 1788)",Parrotfish
"Gymnothorax javanicus (Bleeker, 1859)",Giant Moray
"Himantura jenkinsi (Annandale, 1909)",Jenkins whipray
"Scorpaenichthys marmoratus (Ayres, 1854)",Cabezon
"Cypraecassis testiculus (Linnaeus, 1758)",Reticulate Cowrie-Helmet
Melongenidae,Crown conch
"Apogon lativittatus Randall, 2001",Broadstripe Cardinalfish
"Chlorurus perspicillatus (Steindachner, 1879)",Spectacled parrotfish
"Paralabrax nebulifer (Girard, 1854)",Barred sand bass
"Sebastapistes strongia (Cuvier, 1829)",Barchin scorpionfish
"Paracentrotus lividus (Lamarck, 1816)",Common sea urchin
"Illex illecebrosus (Lesueur, 1821)",Common Shortfin Squid
"Plectropomus laevis (Lacepède, 1801)",Black-saddled coralgrouper
"Epinephelus striatus (Bloch, 1792)",Nassau grouper
"Ophiodon elongatus Girard, 1854",Lingcod
"Ophiothrix fragilis (Abildgaard, 1789)",Common Brittlestar
"Scarus rubroviolaceus Bleeker, 1847",Ember parrotfish
"Corythoichthys flavofasciatus (Rüppell, 1838)",Yellowbanded Pipefish
"Gramma loreto Poey, 1868",Royal gramma
"Holothuria impatiens (Forsskål, 1775)",Impatient Sea Cucumber
"Citharichthys stampflii (Steindachner, 1894)",Smooth Flounder
"Carangoides Bleeker, 1851",Jack Carangue
"Halichoerus grypus (Fabricius, 1791)",Gray Seal
"Zanclus cornutus (Linnaeus, 1758)",Moorish idol
"Gymnothorax prasinus (Richardson, 1848)",Green moray
"Sepioteuthis sepioidea (Blainville, 1823)",Caribbean reef squid
"Pomadasys striatus (Gilchrist & Thompson, 1908)",Striped grunter
"Enteroctopus dofleini (Wülker, 1910)",Giant Pacific octopus
"Chlorurus sordidus (Forsskål, 1775)",Bullethead parrotfish
"Epizoanthus scotinus Wood, 1957",Orange zoanthid
"Paracanthurus hepatus (Linnaeus, 1766)",Blue tang
"Eunicella verrucosa (Pallas, 1766)",Pink Sea Fan
"Centrolabrus trutta (Lowe, 1834)",Common Wrasse
"Hipposcarus longiceps (Valenciennes, 1840)",Longnose Parrotfish
"Rhynchocinetes durbanensis Gordon, 1936",Durban dancing shrimp
"Pseudopterogorgia elisabethae Bayer, 1961",Sea plume
"Lutjanus fulgens (Valenciennes, 1830)",Golden African snapper
"Discosoma sanctithomae (Duchassaing & Michelotti, 1860)",Warty corallimorpharian
"Cephalopholis argus Schneider, 1801",Argus grouper
"Gymnosarda unicolor (Rüppell, 1836)",Dogtooth tuna
"Thalassoma quinquevittatum (Lay & Bennett, 1839)",Five-striped surge wrasse
"Alburnus alburnus (Linnaeus, 1758)",European Bleak
"Dasyatis marmorata (Steindachner, 1892)",Marbled stingray
"Cyphoma gibbosum (Linnaeus, 1758)",Flamingo tongue
"Abudefduf bengalensis (Bloch, 1787)",Bengal sergeant
"Stenorhynchus seticornis (Herbst, 1788)",Arrow crab
"Carcharhinus falciformis (Müller & Henle, 1839)",Silky shark
"Dasyatis akajei (Müller & Henle, 1841)",Whip stingray
"Heniochus monoceros Cuvier, 1831",Bannerfish
"Rutilus rutilus (Linnaeus, 1758)",European roach
"Abudefduf luridus (Cuvier, 1830)",Canary damsel
"Batrachoides liberiensis (Steindachner, 1867)",Hairy toadfish
"Cantherhines macrocerus (Hollard, 1853)",Whitespotted Filefish
"Elysia crispata Mörch, 1863",Lettuce Slug
"Parablennius marmoreus (Poey, 1876)",Seaweed Blenny
"Chromodoris fidelis (Kelaart, 1858)",Sea slug
"Phyllidia ocellata Cuvier, 1804",Ocellated Wart Slug
"Spirobranchus giganteus (Pallas, 1766)",Christmas tree worm
"Myripristis berndti Jordan & Evermann, 1903",Blotcheye soldierfish
"Aurelia labiata Chamisso & Eysenhardt, 1821",Moon jellyfish
"Synodus saurus (Linnaeus, 1758)",Atlantic lizardfish
"Cephalopholis formosa (Shaw, 1812)",Bluelined grouper
"Chaetodon ephippium Cuvier, 1831",Saddle butterflyfish
"Lagocephalus guentheri Miranda Ribeiro, 1915",Diamondback puffer
"Carangoides armatus (Rüppell, 1830)",Armed trevally
"Lutjanus guttatus (Steindachner, 1869)",Mutton Snapper
"Trachyrhamphus bicoarctatus (Bleeker, 1857)",Ringed pipefish
"Xanthichthys caeruleolineatus Randall, Matsuura & Zama, 1978",Blueline Triggerfish
"Neoniphon marianus (Cuvier, 1829)",Longjaw Squirrelfish
"Pagurus annulipes (Stimpson, 1860)",Brown Banded Hermit
"Pygoplites diacanthus (Boddaert, 1772)",Emperor Angelfish
"Echidna catenata (Bloch, 1795)",Chain Moray
