,user_id,preferred_regions,preferred_animals,preferred_types,preferred_clusters
134,135,"['Belgium', 'Peru']","[47, 211]","['Archaeological', 'Ocean', 'Cavern']","[6, 0]"
135,136,"['Netherlands', 'Venezuela', 'Maldives']","[195, 247]","['Lake', 'Ocean', 'Quarry']","[4, 0]"
136,137,"['Norway', 'Canada', 'Latvia']","[157, 453]","['Lake', 'Beach', 'Quarry']","[2, 1]"
137,138,"['Fiji', 'Iceland', 'Egypt']","[385, 197]","['Lake', 'Sea Loch']","[1, 3]"
138,139,"['Netherlands', 'Ecuador', 'Maldives']","[359, 364]","['Wall', 'Sea Loch']","[5, 4]"
139,140,"['Kenya', 'Slovakia', 'Qatar']","[327, 275]","['Sea Loch', 'Cavern']","[0, 3]"
140,141,"['Latvia', 'Northern Mariana Islands']","[244, 207]","['Beach', 'Reef', 'Pinnacle']","[5, 6]"
141,142,"['Cayman Islands', 'Azerbaijan', 'Ecuador']","[283, 392, 91]","['Wreck', 'Cavern']","[3, 6]"
142,143,"['Curacao', 'Turkey', 'Mauritius']","[182, 34, 147]","['River', 'Lake']","[7, 0]"
143,144,"['Sudan', 'Fiji', 'Curacao']","[148, 31, 281]","['Sandy bottom', 'Reef']","[7, 5]"
144,145,"['Chagos Archipelago', 'Singapore']","[122, 249]","['Pinnacle', 'Ocean', 'Wall']","[5, 3]"
145,146,"['Seychelles', 'Palau', 'Fiji']","[362, 63, 390]","['Sandy bottom', 'Archaeological', 'Ocean']","[5, 0]"
146,147,"['Peru', 'Palau', 'El Salvador']","[441, 443, 338]","['Drift', 'Muck']","[6, 0]"
147,148,"['Austria', 'Gibraltar']","[279, 196]","['Channel', 'Spring', 'Muck']","[4, 1]"
148,149,"['Chile', 'Indonesia', 'Seychelles']","[312, 1, 13]","['Wall', 'Drift', 'Lake']","[4, 7]"
149,150,"['Oman', 'Saint Vincent and the Grenadines']","[52, 335]","['Reef', 'Wall']","[3, 6]"
150,151,"['Gibraltar', 'South Korea']","[306, 88]","['Channel', 'Beach']","[4, 1]"
151,152,"['Kuwait', 'Keeling Islands']","[62, 268, 462]","['River', 'Wall', 'Beach']","[4, 2]"
152,153,"['Singapore', 'Dominican Republic']","[349, 402, 468]","['Lake', 'Pinnacle']","[4, 1]"
153,154,"['Pakistan', 'Hungary', 'Puerto Rico']","[149, 125]","['Sandy bottom', 'Cavern']","[6, 5]"
154,155,"['Sweden', 'Indonesia']","[217, 268, 209]","['Sandy bottom', 'Reef', 'Wreck']","[4, 7]"
155,156,"['Keeling Islands', 'Pakistan', 'China']","[132, 346, 469]","['Cavern', 'Reef', 'River']","[5, 3]"
156,157,"['Cape Verde', 'United Kingdom']","[242, 268]","['Archaeological', 'Pinnacle', 'Beach']","[1, 0]"
157,158,"['China', 'Slovenia']","[391, 97, 349]","['Beach', 'Channel']","[7, 6]"
158,159,"['India', 'Cape Verde']","[314, 77, 472]","['Sandy bottom', 'Pinnacle', 'Beach']","[6, 7]"
159,160,"['Jordan', 'Ireland']","[34, 195]","['Ocean', 'Cave', 'Pinnacle']","[0, 2]"
160,161,"['Belgium', 'Colombia']","[54, 217]","['Channel', 'Beach']","[5, 6]"
161,162,"['Australia', 'Belize']","[278, 463]","['Wreck', 'Drift']","[1, 6]"
162,163,"['East Timor', 'Norway']","[344, 38, 306]","['Cavern', 'Channel', 'Drift']","[5, 6]"
163,164,"['United States', 'Oman']","[373, 445]","['Ocean', 'Wreck', 'Muck']","[3, 4]"
164,165,"['Vanuatu', 'East Timor']","[71, 164, 419]","['Wall', 'Lake', 'Drift']","[7, 5]"
165,166,"['Barbados', 'South Africa', 'Saudi Arabia']","[380, 376]","['Cave', 'Archaeological', 'Pool']","[1, 0]"
166,167,"['French Polynesia', 'Jordan']","[286, 59, 77]","['Channel', 'Reef', 'Quarry']","[2, 5]"
167,168,"['Maldives', 'Bonaire']","[221, 455]","['Pool', 'Fjord', 'Drift']","[6, 5]"
168,169,"['Malaysia', 'Libya', 'Belize']","[131, 193]","['Drift', 'Spring', 'Cavern']","[0, 3]"
169,170,"['Kuwait', 'Curacao', 'Guadeloupe']","[118, 286]","['Drift', 'Reef', 'Sandy bottom']","[2, 4]"
170,171,"['Pakistan', 'Venezuela']","[325, 66, 305]","['Wreck', 'Muck']","[3, 5]"
171,172,"['Egypt', 'Vanuatu', 'South Korea']","[408, 60, 471]","['Sea Loch', 'Wall', 'Spring']","[6, 1]"
172,173,"['Kenya', 'South Africa', 'Qatar']","[182, 267]","['Sandy bottom', 'Wreck']","[3, 0]"
173,174,"['Azerbaijan', 'Benin']","[172, 333]","['Lake', 'Pinnacle', 'Cave']","[1, 6]"
174,175,"['Bulgaria', 'Qatar']","[292, 101]","['Pinnacle', 'Spring', 'Beach']","[6, 3]"
175,176,"['Curacao', 'Azerbaijan', 'Vanuatu']","[248, 362, 119]","['Channel', 'Beach']","[4, 3]"
176,177,"['Brazil', 'Republic of Mauritius', 'Indonesia']","[217, 28, 179]","['Drift', 'Archaeological', 'Pool']","[6, 3]"
177,178,"['Singapore', 'Russia']","[459, 260, 31]","['Ocean', 'Cavern', 'Pool']","[3, 6]"
178,179,"['Mauritius', 'Poland']","[3, 330, 181]","['Wreck', 'Drift']","[7, 1]"
179,180,"['Portugal', 'Croatia']","[425, 378]","['Archaeological', 'Fjord']","[1, 0]"
180,181,"['Jersey', 'Trinidad and Tobago']","[78, 426]","['Sea Loch', 'Quarry']","[2, 1]"
181,182,"['Venezuela', 'Sint-Maarten']","[257, 93, 410]","['Fjord', 'Sea Loch']","[1, 2]"
182,183,"['Colombia', 'China', 'Trinidad and Tobago']","[126, 362, 208]","['Lake', 'Sea Loch']","[6, 5]"
183,184,"['Vietnam', 'Iceland', 'Sint-Maarten']","[105, 180]","['Pinnacle', 'Spring']","[1, 3]"
184,185,"['Australia', 'Maldives', 'Malaysia']","[1, 281]","['Pool', 'Beach', 'Lake']","[5, 6]"
185,186,"['Luxembourg', 'Cape Verde', 'Belize']","[37, 265, 419]","['Beach', 'Sea Loch', 'Channel']","[7, 1]"
186,187,"['Cape Verde', 'Italy', 'Republic of Mauritius']","[6, 174, 237]","['Drift', 'River', 'Fjord']","[0, 6]"
187,188,"['Libya', 'Cape Verde', 'Trinidad and Tobago']","[166, 297]","['Ocean', 'Quarry']","[5, 4]"
188,189,"['Sri Lanka', 'Taiwan', 'Kuwait']","[179, 74]","['River', 'Pinnacle', 'Quarry']","[1, 4]"
189,190,"['Chile', 'Argentina']","[388, 344, 4]","['Fjord', 'Spring', 'Muck']","[5, 1]"
190,191,"['Northern Mariana Islands', 'Netherlands', 'United Arab Emirates']","[226, 143, 334]","['Fjord', 'Wreck']","[7, 1]"
191,192,"['Qatar', 'Mozambique', 'Hawaii']","[270, 209, 468]","['Quarry', 'River', 'Pinnacle']","[4, 0]"
192,193,"['Aruba', 'Puerto Rico']","[139, 423]","['Wreck', 'Archaeological', 'Drift']","[7, 6]"
193,194,"['Egypt', 'Azores', 'Vietnam']","[11, 65, 423]","['River', 'Fjord']","[2, 0]"
194,195,"['Northern Mariana Islands', 'Thailand']","[267, 449, 399]","['Ocean', 'Muck']","[6, 5]"
195,196,"['Grenada', 'Bermuda']","[38, 311, 438]","['Wreck', 'Quarry']","[2, 1]"
196,197,"['Brazil', 'Indonesia', 'Reunion']","[89, 12]","['Drift', 'Ocean', 'Pinnacle']","[3, 5]"
197,198,"['Turkey', 'Bahamas', 'Guadeloupe']","[159, 452]","['Wreck', 'Pool']","[0, 1]"
198,199,"['Libya', 'Croatia', 'Jordan']","[29, 191, 401]","['Muck', 'Sandy bottom', 'Ocean']","[6, 4]"
199,200,"['Italy', 'Niue', 'Federated States Of Micronesia']","[461, 2]","['Drift', 'Pool']","[6, 1]"
200,201,"['Virgin Islands', 'Panama', 'Taiwan']","[2, 148, 260]","['Channel', 'Reef']","[3, 5]"
201,202,"['Ireland', 'Azores', 'South Africa']","[76, 134, 214]","['Fjord', 'Beach']","[7, 1]"
202,203,"['Luxembourg', 'Venezuela', 'Sint-Maarten']","[335, 280]","['Sea Loch', 'Pinnacle']","[6, 7]"
203,204,"['Finland', 'Sri Lanka', 'United Arab Emirates']","[141, 460, 170]","['Spring', 'Archaeological']","[3, 0]"
204,205,"['India', 'Luxembourg', 'Saint Kitts and Nevis']","[228, 289]","['Ocean', 'Channel', 'Sea Loch']","[3, 7]"
205,206,"['Jersey', 'Reunion']","[482, 99]","['Drift', 'Muck']","[1, 0]"
206,207,"['Barbados', 'East Timor', 'Curacao']","[412, 231]","['Wall', 'Cave', 'Sea Loch']","[6, 7]"
207,208,"['Denmark', 'Reunion', 'Iceland']","[112, 406]","['Wall', 'Cavern']","[5, 2]"
208,209,"['Jersey', 'Trinidad and Tobago', 'Colombia']","[127, 423, 89]","['Cave', 'Archaeological']","[5, 4]"
209,210,"['Brunei', 'Brazil']","[416, 473, 287]","['Cave', 'Muck']","[1, 4]"
210,211,"['Fiji', 'United Kingdom', 'Saint Kitts and Nevis']","[92, 255, 436]","['Cavern', 'Muck']","[4, 1]"
211,212,"['Azerbaijan', 'China', 'Philippines']","[234, 43, 356]","['Wreck', 'Cavern']","[6, 1]"
212,213,"['Virgin Islands', 'Jamaica', 'Trinidad and Tobago']","[223, 382, 238]","['Muck', 'Sea Loch', 'Ocean']","[1, 5]"
213,214,"['Bulgaria', 'Niue', 'Ireland']","[126, 351, 245]","['Muck', 'Sea Loch', 'River']","[6, 5]"
214,215,"['East Timor', 'Aruba', 'Spain']","[349, 177]","['Channel', 'Fjord']","[1, 7]"
215,216,"['Gibraltar', 'Kuwait']","[34, 13, 24]","['Spring', 'Reef']","[6, 1]"
216,217,"['Canada', 'Fiji', 'Andaman and Nicobar']","[482, 480, 325]","['Cave', 'Wreck', 'Drift']","[1, 0]"
217,218,"['Jersey', 'Malaysia']","[324, 168, 376]","['Drift', 'Cavern']","[6, 0]"
218,219,"['Reunion', 'Oman']","[291, 192]","['Beach', 'Spring']","[0, 1]"
219,220,"['Oman', 'United Kingdom', 'East Timor']","[29, 259]","['Pool', 'Archaeological']","[5, 0]"
220,221,"['Libya', 'Germany', 'Saint Kitts and Nevis']","[63, 32]","['Spring', 'Cave', 'Wall']","[3, 7]"
221,222,"['Galapagos', 'Saint Vincent and the Grenadines']","[439, 231, 185]","['Pinnacle', 'Wreck', 'Wall']","[7, 5]"
222,223,"['Croatia', 'French Polynesia', 'Italy']","[422, 99]","['Pool', 'Reef']","[0, 2]"
223,224,"['Republic of Mauritius', 'East Timor', 'Greece']","[460, 190]","['Pool', 'Archaeological']","[7, 2]"
224,225,"['Luxembourg', 'Bonaire']","[295, 244, 178]","['Drift', 'Reef', 'Sandy bottom']","[1, 7]"
225,226,"['Norway', 'Aruba', 'El Salvador']","[379, 292]","['River', 'Wall', 'Cavern']","[3, 7]"
226,227,"['Benin', 'Singapore']","[293, 448, 281]","['Lake', 'Sea Loch']","[3, 6]"
227,228,"['Bermuda', 'Australia', 'Cayman Islands']","[247, 467]","['Lake', 'Pool']","[4, 5]"
228,229,"['Canary Islands', 'Switzerland', 'United Arab Emirates']","[263, 316, 496]","['Fjord', 'Lake']","[4, 5]"
229,230,"['Hawaii', 'Mauritius', 'China']","[376, 373]","['Quarry', 'Wreck', 'River']","[7, 1]"
230,231,"['Cambodia', 'Malaysia', 'El Salvador']","[77, 470]","['Fjord', 'Pinnacle', 'Beach']","[3, 7]"
231,232,"['United Arab Emirates', 'Guadeloupe', 'Madagascar']","[189, 299]","['Ocean', 'Spring', 'Sandy bottom']","[4, 1]"
232,233,"['Guadeloupe', 'Madeira', 'France']","[299, 489]","['Cavern', 'Drift', 'Wall']","[3, 5]"
233,234,"['Gibraltar', 'Reunion', 'Malaysia']","[335, 281, 451]","['Muck', 'Channel']","[7, 4]"
234,235,"['Chagos Archipelago', 'Honduras']","[430, 40]","['Spring', 'Lake']","[5, 1]"
235,236,"['Austria', 'Andaman and Nicobar']","[472, 269]","['Drift', 'Wall']","[4, 7]"
236,237,"['Brazil', 'Guadeloupe']","[476, 362]","['Archaeological', 'Ocean', 'Cavern']","[2, 0]"
237,238,"['Virgin Islands', 'Honduras']","[155, 266]","['Quarry', 'Archaeological', 'Wreck']","[0, 2]"
